code_left,muni,code_right,hcd,google_region
005,Alajärvi,hcd15,"""Etelä-Pohjanmaan SHP""",Southern Ostrobothnia
009,Alavieska,hcd18,"""Pohjois-Pohjanmaan SHP""",Northern Ostrobothnia
010,Alavus,hcd15,"""Etelä-Pohjanmaan SHP""",Southern Ostrobothnia
016,Asikkala,hcd07,"""Päijät-Hämeen SHP""",Päijänne Tavastia
018,Askola,hcd25,"""Helsingin ja Uudenmaan SHP""",Uusimaa
019,Aura,hcd03,"""Varsinais-Suomen SHP""",Southwest Finland
020,Akaa,hcd06,"""Pirkanmaan SHP""",Pirkanmaa
035,Brändö,hcd00,"""Ahvenanmaa""",
043,Eckerö,hcd00,"""Ahvenanmaa""",
046,Enonkoski,hcd11,"""Itä-Savon SHP""",
047,Enontekiö,hcd21,"""Lapin SHP""",Lapland
049,Espoo,hcd25,"""Helsingin ja Uudenmaan SHP""",Uusimaa
050,Eura,hcd04,"""Satakunnan SHP""",Satakunta
051,Eurajoki,hcd04,"""Satakunnan SHP""",Satakunta
052,Evijärvi,hcd15,"""Etelä-Pohjanmaan SHP""",Southern Ostrobothnia
060,Finström,hcd00,"""Ahvenanmaa""",
061,Forssa,hcd05,"""Kanta-Hämeen SHP""",Tavastia Proper
062,Föglö,hcd00,"""Ahvenanmaa""",
065,Geta,hcd00,"""Ahvenanmaa""",
069,Haapajärvi,hcd18,"""Pohjois-Pohjanmaan SHP""",Northern Ostrobothnia
071,Haapavesi,hcd18,"""Pohjois-Pohjanmaan SHP""",Northern Ostrobothnia
072,Hailuoto,hcd18,"""Pohjois-Pohjanmaan SHP""",Northern Ostrobothnia
074,Halsua,hcd17,"""Keski-Pohjanmaan SHP""",Central Ostrobothnia
075,Hamina,hcd08,"""Kymenlaakson SHP""",Kymenlaakso
076,Hammarland,hcd00,"""Ahvenanmaa""",
077,Hankasalmi,hcd14,"""Keski-Suomen SHP""",Central Finland
078,Hanko,hcd25,"""Helsingin ja Uudenmaan SHP""",Uusimaa
079,Harjavalta,hcd04,"""Satakunnan SHP""",Satakunta
081,Hartola,hcd07,"""Päijät-Hämeen SHP""",Päijänne Tavastia
082,Hattula,hcd05,"""Kanta-Hämeen SHP""",Tavastia Proper
086,Hausjärvi,hcd05,"""Kanta-Hämeen SHP""",Tavastia Proper
090,Heinävesi,hcd12,"""Pohjois-Karjalan SHP""",North Karelia
