

Windows-1252;;kunta_1_20210101#sairaanhoitop_1_20210101;;
sourcecode;sourcename;targetcode;targetname

"'020'";"Akaa";"'06'";"Pirkanmaa Hospital District"
"'005'";"Alajärvi";"'15'";"South Ostrobothnia Hospital District"
"'009'";"Alavieska";"'18'";"North Ostrobothnia Hospital District"
"'010'";"Alavus";"'15'";"South Ostrobothnia Hospital District"
"'016'";"Asikkala";"'07'";"Päijät-Häme Hospital District"
"'018'";"Askola";"'25'";"Helsinki and Uusimaa Hospital District"
"'019'";"Aura";"'03'";"Southwest Finland Hospital District"
"'035'";"Brändö";"'00'";"Åland"
"'043'";"Eckerö";"'00'";"Åland"
"'046'";"Enonkoski";"'11'";"Itä-Savo Hospital District"
"'047'";"Enontekiö";"'21'";"Lappi Hospital District"
"'049'";"Espoo";"'25'";"Helsinki and Uusimaa Hospital District"
"'050'";"Eura";"'04'";"Satakunta Hospital District"
"'051'";"Eurajoki";"'04'";"Satakunta Hospital District"
"'052'";"Evijärvi";"'15'";"South Ostrobothnia Hospital District"
"'060'";"Finström";"'00'";"Åland"
"'061'";"Forssa";"'05'";"Kanta-Häme Hospital District"
"'062'";"Föglö";"'00'";"Åland"
"'065'";"Geta";"'00'";"Åland"
"'069'";"Haapajärvi";"'18'";"North Ostrobothnia Hospital District"
"'071'";"Haapavesi";"'18'";"North Ostrobothnia Hospital District"
"'072'";"Hailuoto";"'18'";"North Ostrobothnia Hospital District"
"'074'";"Halsua";"'17'";"Central Ostrobothnia Hospital District"
"'075'";"Hamina";"'08'";"Kymenlaakso Hospital District"
"'076'";"Hammarland";"'00'";"Åland"
"'077'";"Hankasalmi";"'14'";"Central Finland Hospital District"
"'078'";"Hanko";"'25'";"Helsinki and Uusimaa Hospital District"
"'079'";"Harjavalta";"'04'";"Satakunta Hospital District"
"'081'";"Hartola";"'07'";"Päijät-Häme Hospital District"
"'082'";"Hattula";"'05'";"Kanta-Häme Hospital District"
"'086'";"Hausjärvi";"'05'";"Kanta-Häme Hospital District"
"'111'";"Heinola";"'07'";"Päijät-Häme Hospital District"
"'090'";"Heinävesi";"'12'";"North Karelia Hospital District"
"'091'";"Helsinki";"'25'";"Helsinki and Uusimaa Hospital District"
"'097'";"Hirvensalmi";"'10'";"South Savo Hospital District"
"'098'";"Hollola";"'07'";"Päijät-Häme Hospital District"
"'102'";"Huittinen";"'04'";"Satakunta Hospital District"
"'103'";"Humppila";"'05'";"Kanta-Häme Hospital District"
"'105'";"Hyrynsalmi";"'19'";"Kainuu Hospital District"
"'106'";"Hyvinkää";"'25'";"Helsinki and Uusimaa Hospital District"
"'108'";"Hämeenkyrö";"'06'";"Pirkanmaa Hospital District"
"'109'";"Hämeenlinna";"'05'";"Kanta-Häme Hospital District"
"'139'";"Ii";"'18'";"North Ostrobothnia Hospital District"
"'140'";"Iisalmi";"'13'";"North Savo Hospital District"
"'142'";"Iitti";"'07'";"Päijät-Häme Hospital District"
"'143'";"Ikaalinen";"'06'";"Pirkanmaa Hospital District"
"'145'";"Ilmajoki";"'15'";"South Ostrobothnia Hospital District"
"'146'";"Ilomantsi";"'12'";"North Karelia Hospital District"
"'153'";"Imatra";"'09'";"South Karelia Hospital District"
"'148'";"Inari";"'21'";"Lappi Hospital District"
"'149'";"Inkoo";"'25'";"Helsinki and Uusimaa Hospital District"
"'151'";"Isojoki";"'15'";"South Ostrobothnia Hospital District"
"'152'";"Isokyrö";"'15'";"South Ostrobothnia Hospital District"
"'165'";"Janakkala";"'05'";"Kanta-Häme Hospital District"
"'167'";"Joensuu";"'12'";"North Karelia Hospital District"
"'169'";"Jokioinen";"'05'";"Kanta-Häme Hospital District"
"'170'";"Jomala";"'00'";"Åland"
"'171'";"Joroinen";"'10'";"South Savo Hospital District"
"'172'";"Joutsa";"'14'";"Central Finland Hospital District"
"'176'";"Juuka";"'12'";"North Karelia Hospital District"
"'177'";"Juupajoki";"'06'";"Pirkanmaa Hospital District"
"'178'";"Juva";"'10'";"South Savo Hospital District"
"'179'";"Jyväskylä";"'14'";"Central Finland Hospital District"
"'181'";"Jämijärvi";"'04'";"Satakunta Hospital District"
"'182'";"Jämsä";"'06'";"Pirkanmaa Hospital District"
"'186'";"Järvenpää";"'25'";"Helsinki and Uusimaa Hospital District"
"'202'";"Kaarina";"'03'";"Southwest Finland Hospital District"
"'204'";"Kaavi";"'13'";"North Savo Hospital District"
"'205'";"Kajaani";"'19'";"Kainuu Hospital District"
"'208'";"Kalajoki";"'18'";"North Ostrobothnia Hospital District"
"'211'";"Kangasala";"'06'";"Pirkanmaa Hospital District"
"'213'";"Kangasniemi";"'10'";"South Savo Hospital District"
"'214'";"Kankaanpää";"'04'";"Satakunta Hospital District"
"'216'";"Kannonkoski";"'14'";"Central Finland Hospital District"
"'217'";"Kannus";"'17'";"Central Ostrobothnia Hospital District"
"'218'";"Karijoki";"'15'";"South Ostrobothnia Hospital District"
"'224'";"Karkkila";"'25'";"Helsinki and Uusimaa Hospital District"
"'226'";"Karstula";"'14'";"Central Finland Hospital District"
"'230'";"Karvia";"'04'";"Satakunta Hospital District"
"'231'";"Kaskinen";"'16'";"Vaasa Hospital District"
"'232'";"Kauhajoki";"'15'";"South Ostrobothnia Hospital District"
"'233'";"Kauhava";"'15'";"South Ostrobothnia Hospital District"
"'235'";"Kauniainen";"'25'";"Helsinki and Uusimaa Hospital District"
"'236'";"Kaustinen";"'17'";"Central Ostrobothnia Hospital District"
"'239'";"Keitele";"'13'";"North Savo Hospital District"
"'240'";"Kemi";"'20'";"Länsi-Pohja Hospital District"
"'320'";"Kemijärvi";"'21'";"Lappi Hospital District"
"'241'";"Keminmaa";"'20'";"Länsi-Pohja Hospital District"
"'322'";"Kemiönsaari";"'03'";"Southwest Finland Hospital District"
