115p -- Employed labour force in area (workplaces) by area, commuting, level of education, age and year, 1987-2017

Area (workplace);Commuting;Total 2017 Employed labour force in area;- 17 2017 Employed labour force in area;18 - 24 2017 Employed labour force in area;25 - 34 2017 Employed labour force in area;35 - 44 2017 Employed labour force in area;45 - 54 2017 Employed labour force in area;55 - 64 2017 Employed labour force in area;65 - 74 2017 Employed labour force in area;75 - 2017 Employed labour force in area
Akaa;Total;4652;0;326;816;1163;1234;1057;56;0
Alajärvi;Total;3484;0;348;608;702;918;853;55;0
Alavieska;Total;750;0;90;133;147;198;174;8;0
Alavus;Total;4314;0;411;778;915;1157;986;67;0
Asikkala;Total;2254;0;189;380;493;637;510;45;0
Askola;Total;1331;0;129;234;318;337;295;18;0
Aura;Total;1131;0;122;212;297;282;202;16;0
Brändö;Total;139;0;10;20;21;38;43;7;0
Eckerö;Total;294;0;38;42;61;64;81;8;0
Enonkoski;Total;373;0;27;69;58;100;103;16;0
Enontekiö;Total;646;0;55;123;132;159;165;12;0
Espoo;Total;120676;0;11621;28357;31568;29025;19003;1102;0
Eura;Total;4887;0;468;1016;1053;1272;1013;65;0
Eurajoki;Total;3696;0;273;768;1039;930;636;50;0
Evijärvi;Total;916;0;96;168;175;232;230;15;0
Finström;Total;858;0;80;179;191;206;186;16;0
Forssa;Total;8304;0;827;1563;1881;2016;1910;107;0
Föglö;Total;223;0;24;36;52;43;52;16;0
Geta;Total;139;0;9;28;23;35;40;4;0
Haapajärvi;Total;2858;0;280;532;621;737;657;31;0
Haapavesi;Total;2631;0;269;557;588;617;580;20;0
Hailuoto;Total;246;0;24;39;51;75;51;6;0
Halsua;Total;421;0;38;72;91;108;111;1;0
Hamina;Total;6272;0;466;1121;1411;1750;1459;65;0
Hammarland;Total;323;0;20;67;72;86;66;12;0
Hankasalmi;Total;1385;0;128;245;300;340;353;19;0
Hanko;Total;3518;0;266;610;831;1019;754;38;0
Harjavalta;Total;3806;0;273;802;893;1024;768;46;0
Hartola;Total;1149;0;88;175;191;330;347;18;0
Hattula;Total;2724;0;262;586;598;739;506;33;0
Hausjärvi;Total;2123;0;188;347;525;536;489;38;0
Heinola;Total;6614;0;542;1076;1409;1797;1707;83;0
Heinävesi;Total;1079;0;58;138;216;305;338;24;0
Helsinki;Total;397346;0;35597;102806;100767;89572;64418;4186;0
Hirvensalmi;Total;587;0;43;89;104;177;165;9;0
Hollola;Total;6072;0;588;1139;1413;1634;1230;68;0
Honkajoki;Total;650;0;58;124;154;139;163;12;0
Huittinen;Total;4088;0;395;779;862;1043;951;58;0
Humppila;Total;619;0;53;108;130;148;170;10;0
Hyrynsalmi;Total;587;0;33;86;83;168;196;21;0
Hyvinkää;Total;19690;0;1920;4298;4732;4797;3730;213;0
Hämeenkyrö;Total;2856;0;241;446;682;820;643;24;0
Hämeenlinna;Total;28038;0;2584;5795;6477;6963;5879;340;0
Ii;Total;2427;0;269;528;562;551;490;27;0
Iisalmi;Total;9204;0;831;1869;1947;2237;2176;144;0
Iitti;Total;2149;0;185;395;447;583;509;30;0
Ikaalinen;Total;2324;0;241;391;500;618;542;32;0
Ilmajoki;Total;3246;0;313;703;714;747;714;55;0
Ilomantsi;Total;1513;0;88;262;264;405;479;15;0
Imatra;Total;10316;0;824;1838;2436;2813;2319;86;0
Inari;Total;3010;0;293;611;608;755;690;53;0
Ingå;Total;1290;0;126;216;325;343;265;15;0
