115n -- Employed labour force by area, commuting, level of education, age and year, 1987-2017

Area;Commuting;Level of education;Total 2017 Employed;- 17 2017 Employed;18 - 24 2017 Employed;25 - 34 2017 Employed;35 - 44 2017 Employed;45 - 54 2017 Employed;55 - 64 2017 Employed;65 - 74 2017 Employed;75 - 2017 Employed
WHOLE COUNTRY;Persons working outside their municipality of residence;Total;805713;0;68952;180545;210536;200976;137113;7591;0
Akaa;Persons working outside their municipality of residence;Total;3663;0;204;657;1218;1028;530;26;0
Alajärvi;Persons working outside their municipality of residence;Total;830;0;84;168;211;199;155;13;0
Alavieska;Persons working outside their municipality of residence;Total;529;0;61;120;119;119;103;7;0
Alavus;Persons working outside their municipality of residence;Total;986;0;75;227;220;247;209;8;0
Asikkala;Persons working outside their municipality of residence;Total;1547;0;64;234;416;444;363;26;0
Askola;Persons working outside their municipality of residence;Total;1489;0;93;292;442;389;269;4;0
Aura;Persons working outside their municipality of residence;Total;1284;0;85;264;378;327;220;10;0
Brändö;Persons working outside their municipality of residence;Total;81;0;9;14;11;18;28;1;0
Eckerö;Persons working outside their municipality of residence;Total;270;0;24;62;56;70;48;10;0
Enonkoski;Persons working outside their municipality of residence;Total;216;0;13;44;59;50;46;4;0
Enontekiö;Persons working outside their municipality of residence;Total;166;0;16;38;34;40;35;3;0
Espoo;Persons working outside their municipality of residence;Total;67308;0;5156;15534;19051;16584;10376;607;0
Eura;Persons working outside their municipality of residence;Total;1923;0;183;405;446;507;357;25;0
Eurajoki;Persons working outside their municipality of residence;Total;2234;0;129;441;610;631;401;22;0
Evijärvi;Persons working outside their municipality of residence;Total;385;0;31;86;95;92;74;7;0
Finström;Persons working outside their municipality of residence;Total;901;0;96;182;198;248;157;20;0
Forssa;Persons working outside their municipality of residence;Total;1705;0;169;343;383;444;337;29;0
Föglö;Persons working outside their municipality of residence;Total;87;0;14;17;17;20;18;1;0
Geta;Persons working outside their municipality of residence;Total;141;0;10;36;27;31;34;3;0
Haapajärvi;Persons working outside their municipality of residence;Total;625;0;84;128;148;138;123;4;0
Haapavesi;Persons working outside their municipality of residence;Total;598;0;81;133;152;131;95;6;0
Hailuoto;Persons working outside their municipality of residence;Total;154;0;8;22;32;49;43;0;0
Halsua;Persons working outside their municipality of residence;Total;130;0;18;37;28;23;21;3;0
Hamina;Persons working outside their municipality of residence;Total;3331;0;209;650;920;893;634;25;0
Hammarland;Persons working outside their municipality of residence;Total;554;0;46;106;140;148;106;8;0
Hankasalmi;Persons working outside their municipality of residence;Total;707;0;46;135;175;187;155;9;0
Hanko;Persons working outside their municipality of residence;Total;599;0;37;91;126;177;163;5;0
Harjavalta;Persons working outside their municipality of residence;Total;1084;0;79;247;272;276;200;10;0
Hartola;Persons working outside their municipality of residence;Total;297;0;16;33;52;103;88;5;0
Hattula;Persons working outside their municipality of residence;Total;2945;0;160;578;780;781;626;20;0
Hausjärvi;Persons working outside their municipality of residence;Total;2591;0;119;410;721;780;539;22;0
Heinola;Persons working outside their municipality of residence;Total;2019;0;163;341;427;595;466;27;0
Heinävesi;Persons working outside their municipality of residence;Total;241;0;16;31;43;72;78;1;0
Helsinki;Persons working outside their municipality of residence;Total;70820;0;7202;22170;17037;14012;9772;627;0
Hirvensalmi;Persons working outside their municipality of residence;Total;329;0;18;47;65;97;94;8;0
Hollola;Persons working outside their municipality of residence;Total;6710;0;378;1201;1786;1894;1382;69;0
Honkajoki;Persons working outside their municipality of residence;Total;228;0;16;42;42;63;62;3;0
Huittinen;Persons working outside their municipality of residence;Total;1363;0;112;314;328;330;258;21;0
Humppila;Persons working outside their municipality of residence;Total;514;0;47;78;143;125;119;2;0
Hyrynsalmi;Persons working outside their municipality of residence;Total;267;0;24;43;44;84;65;7;0
Hyvinkää;Persons working outside their municipality of residence;Total;9544;0;754;2066;2433;2541;1687;63;0
Hämeenkyrö;Persons working outside their municipality of residence;Total;2472;0;144;547;666;661;438;16;0
Hämeenlinna;Persons working outside their municipality of residence;Total;7810;0;701;1771;1936;1997;1324;81;0
Ii;Persons working outside their municipality of residence;Total;1959;0;146;398;568;493;344;10;0
Iisalmi;Persons working outside their municipality of residence;Total;1822;0;194;433;433;414;334;14;0
Iitti;Persons working outside their municipality of residence;Total;1308;0;78;272;281;358;302;17;0
Ikaalinen;Persons working outside their municipality of residence;Total;975;0;76;162;249;269;205;14;0
Ilmajoki;Persons working outside their municipality of residence;Total;3086;0;221;722;952;684;482;25;0
Ilomantsi;Persons working outside their municipality of residence;Total;359;0;20;54;64;98;120;3;0
Imatra;Persons working outside their municipality of residence;Total;2692;0;178;519;641;731;588;35;0
Inari;Persons working outside their municipality of residence;Total;378;0;31;87;82;94;79;5;0
Ingå;Persons working outside their municipality of residence;Total;1571;0;86;233;433;476;328;15;0
Isojoki;Persons working outside their municipality of residence;Total;239;0;27;40;35;82;51;4;0
Isokyrö;Persons working outside their municipality of residence;Total;1029;0;58;174;271;315;207;4;0
Janakkala;Persons working outside their municipality of residence;Total;4056;0;223;752;1097;1191;766;27;0
Joensuu;Persons working outside their municipality of residence;Total;4872;0;786;1300;1080;972;678;56;0
Jokioinen;Persons working outside their municipality of residence;Total;1331;0;94;239;330;378;275;15;0
Jomala;Persons working outside their municipality of residence;Total;1733;0;135;359;490;444;282;23;0
Joroinen;Persons working outside their municipality of residence;Total;935;0;53;183;217;275;205;2;0
Joutsa;Persons working outside their municipality of residence;Total;505;0;34;77;107;164;114;9;0
Juuka;Persons working outside their municipality of residence;Total;300;0;13;44;65;92;82;4;0
Juupajoki;Persons working outside their municipality of residence;Total;333;0;16;63;92;82;78;2;0
Juva;Persons working outside their municipality of residence;Total;682;0;39;109;149;195;177;13;0
Jyväskylä;Persons working outside their municipality of residence;Total;9759;0;1503;2810;2301;1772;1286;87;0
Jämijärvi;Persons working outside their municipality of residence;Total;391;0;35;84;98;97;73;4;0
Jämsä;Persons working outside their municipality of residence;Total;1489;0;108;252;380;399;336;14;0
Järvenpää;Persons working outside their municipality of residence;Total;13375;0;1058;3041;3500;3268;2416;92;0
Kaarina;Persons working outside their municipality of residence;Total;10670;0;552;2012;3199;2941;1854;112;0
Kaavi;Persons working outside their municipality of residence;Total;377;0;23;70;68;115;93;8;0
Kajaani;Persons working outside their municipality of residence;Total;1960;0;224;579;415;385;330;27;0
Kalajoki;Persons working outside their municipality of residence;Total;1389;0;112;287;326;356;291;17;0
Kangasala;Persons working outside their municipality of residence;Total;8642;0;471;1592;2660;2426;1422;71;0
Kangasniemi;Persons working outside their municipality of residence;Total;489;0;26;92;106;134;123;8;0
Kankaanpää;Persons working outside their municipality of residence;Total;1030;0;97;258;204;245;214;12;0
Kannonkoski;Persons working outside their municipality of residence;Total;164;0;13;28;31;54;34;4;0
Kannus;Persons working outside their municipality of residence;Total;744;0;73;179;167;179;137;9;0
Karijoki;Persons working outside their municipality of residence;Total;257;0;32;51;48;69;55;2;0
Karkkila;Persons working outside their municipality of residence;Total;1737;0;100;279;482;488;367;21;0
Karstula;Persons working outside their municipality of residence;Total;350;0;24;86;69;100;66;5;0
Karvia;Persons working outside their municipality of residence;Total;269;0;25;53;63;73;51;4;0
Kaskinen;Persons working outside their municipality of residence;Total;197;0;10;43;34;45;60;5;0
Kauhajoki;Persons working outside their municipality of residence;Total;1212;0;121;264;276;280;254;17;0
Kauhava;Persons working outside their municipality of residence;Total;1441;0;120;321;356;322;298;24;0
Kauniainen;Persons working outside their municipality of residence;Total;3381;0;303;503;821;1035;670;49;0
Kaustinen;Persons working outside their municipality of residence;Total;763;0;68;220;188;147;132;8;0
Keitele;Persons working outside their municipality of residence;Total;150;0;17;35;30;32;36;0;0
Kemi;Persons working outside their municipality of residence;Total;1821;0;169;484;458;401;300;9;0
Kemijärvi;Persons working outside their municipality of residence;Total;530;0;32;94;98;143;150;13;0
Keminmaa;Persons working outside their municipality of residence;Total;2098;0;128;424;527;547;452;20;0
Kimitoön;Persons working outside their municipality of residence;Total;649;0;46;117;146;190;136;14;0
Kempele;Persons working outside their municipality of residence;Total;5227;0;345;1084;1607;1424;728;39;0
Kerava;Persons working outside their municipality of residence;Total;11303;0;1027;2534;2886;2693;2069;94;0
Keuruu;Persons working outside their municipality of residence;Total;874;0;46;135;197;257;218;21;0
Kihniö;Persons working outside their municipality of residence;Total;207;0;12;39;33;63;60;0;0
Kinnula;Persons working outside their municipality of residence;Total;150;0;14;27;35;32;37;5;0
Kirkkonummi;Persons working outside their municipality of residence;Total;12309;0;727;1894;3697;3850;2026;115;0
Kitee;Persons working outside their municipality of residence;Total;714;0;43;127;146;191;200;7;0
Kittilä;Persons working outside their municipality of residence;Total;439;0;46;119;105;96;70;3;0
Kiuruvesi;Persons working outside their municipality of residence;Total;840;0;103;204;188;190;148;7;0
Kivijärvi;Persons working outside their municipality of residence;Total;156;0;25;28;29;46;24;4;0
Kokemäki;Persons working outside their municipality of residence;Total;1249;0;105;238;282;351;260;13;0
Kokkola;Persons working outside their municipality of residence;Total;2596;0;317;624;641;564;419;31;0
Kolari;Persons working outside their municipality of residence;Total;367;0;49;93;72;74;71;8;0
Konnevesi;Persons working outside their municipality of residence;Total;430;0;33;75;111;110;96;5;0
Kontiolahti;Persons working outside their municipality of residence;Total;4611;0;266;967;1406;1179;752;41;0
Korsnäs;Persons working outside their municipality of residence;Total;420;0;52;83;114;87;78;6;0
Koski_Tl;Persons working outside their municipality of residence;Total;373;0;35;67;89;102;73;7;0
Kotka;Persons working outside their municipality of residence;Total;3667;0;336;873;875;935;614;34;0
Kouvola;Persons working outside their municipality of residence;Total;5114;0;321;1094;1312;1392;934;61;0
Kristinestad;Persons working outside their municipality of residence;Total;677;0;57;125;126;187;165;17;0
Kronoby;Persons working outside their municipality of residence;Total;1281;0;161;280;324;283;217;16;0
Kuhmo;Persons working outside their municipality of residence;Total;405;0;27;62;94;116;102;4;0
Kuhmoinen;Persons working outside their municipality of residence;Total;223;0;11;48;50;51;60;3;0
Kumlinge;Persons working outside their municipality of residence;Total;58;0;1;16;8;9;19;5;0
Kuopio;Persons working outside their municipality of residence;Total;7803;0;1052;2210;1709;1606;1156;70;0
Kuortane;Persons working outside their municipality of residence;Total;519;0;32;86;126;157;113;5;0
Kurikka;Persons working outside their municipality of residence;Total;2743;0;239;585;640;715;536;28;0
Kustavi;Persons working outside their municipality of residence;Total;161;0;13;21;24;49;51;3;0
Kuusamo;Persons working outside their municipality of residence;Total;464;0;61;89;90;108;105;11;0
Kyyjärvi;Persons working outside their municipality of residence;Total;140;0;11;24;34;26;44;1;0
Kärkölä;Persons working outside their municipality of residence;Total;909;0;57;135;242;267;202;6;0
Kärsämäki;Persons working outside their municipality of residence;Total;290;0;32;65;69;70;53;1;0
Kökar;Persons working outside their municipality of residence;Total;36;0;1;6;2;15;10;2;0
Lahti;Persons working outside their municipality of residence;Total;10765;0;1111;2717;2696;2556;1573;112;0
Laihia;Persons working outside their municipality of residence;Total;2209;0;92;515;718;529;338;17;0
Laitila;Persons working outside their municipality of residence;Total;1417;0;151;354;327;352;226;7;0
Lapinjärvi;Persons working outside their municipality of residence;Total;539;0;50;105;129;149;102;4;0
Lapinlahti;Persons working outside their municipality of residence;Total;1390;0;99;309;342;347;278;15;0
Lappajärvi;Persons working outside their municipality of residence;Total;346;0;33;76;67;82;81;7;0
Lappeenranta;Persons working outside their municipality of residence;Total;4320;0;561;1055;1032;980;655;37;0
Lapua;Persons working outside their municipality of residence;Total;2444;0;182;571;713;585;375;18;0
Laukaa;Persons working outside their municipality of residence;Total;4517;0;229;932;1446;1146;741;23;0
Lemi;Persons working outside their municipality of residence;Total;869;0;37;156;254;239;175;8;0
Lemland;Persons working outside their municipality of residence;Total;832;0;85;174;176;227;159;11;0
Lempäälä;Persons working outside their municipality of residence;Total;6758;0;340;1337;2242;1799;983;57;0
Leppävirta;Persons working outside their municipality of residence;Total;1668;0;82;270;390;493;409;24;0
Lestijärvi;Persons working outside their municipality of residence;Total;86;0;6;21;15;18;23;3;0
Lieksa;Persons working outside their municipality of residence;Total;441;0;31;83;76;124;123;4;0
Lieto;Persons working outside their municipality of residence;Total;6487;0;314;1196;1995;1878;1043;61;0
Liminka;Persons working outside their municipality of residence;Total;2742;0;174;568;1059;652;280;9;0
Liperi;Persons working outside their municipality of residence;Total;3110;0;185;709;846;800;539;31;0
Lohja;Persons working outside their municipality of residence;Total;8105;0;529;1348;2164;2426;1559;79;0
Loimaa;Persons working outside their municipality of residence;Total;1528;0;114;320;362;399;313;20;0
Loppi;Persons working outside their municipality of residence;Total;2104;0;101;361;621;617;385;19;0
Loviisa;Persons working outside their municipality of residence;Total;2511;0;160;470;619;709;520;33;0
Luhanka;Persons working outside their municipality of residence;Total;123;0;7;24;19;39;33;1;0
Lumijoki;Persons working outside their municipality of residence;Total;460;0;35;107;140;108;68;2;0
Lumparland;Persons working outside their municipality of residence;Total;133;0;12;17;21;44;35;4;0
Larsmo;Persons working outside their municipality of residence;Total;1588;0;263;388;362;347;216;12;0
Luumäki;Persons working outside their municipality of residence;Total;783;0;44;125;188;226;190;10;0
Malax;Persons working outside their municipality of residence;Total;1129;0;93;237;303;279;210;7;0
Mariehamn;Persons working outside their municipality of residence;Total;1324;0;199;357;287;268;189;24;0
Marttila;Persons working outside their municipality of residence;Total;492;0;32;91;144;130;91;4;0
