"115n -- Employed labour force by area, commuting, level of education, age and year, 1987-2017"

"Area";"Commuting";"Total 2017 Employed";"- 17 2017 Employed";"18 - 24 2017 Employed";"25 - 34 2017 Employed";"35 - 44 2017 Employed";"45 - 54 2017 Employed";"55 - 64 2017 Employed";"65 - 74 2017 Employed";"75 - 2017 Employed"
"Akaa";"Total";6852;0;429;1149;1980;1911;1311;72;0
"Alajärvi";"Total";3508;0;323;583;755;923;866;58;0
"Alavieska";"Total";1004;0;115;183;207;255;235;9;0
"Alavus";"Total";4354;0;380;783;927;1174;1030;60;0
"Asikkala";"Total";2988;0;164;413;741;875;739;56;0
"Askola";"Total";2217;0;156;396;617;591;442;15;0
"Aura";"Total";1823;0;133;353;513;470;335;19;0
"Brändö";"Total";205;0;16;29;30;55;68;7;0
"Eckerö";"Total";469;0;35;92;97;118;110;17;0
"Enonkoski";"Total";466;0;22;83;103;126;116;16;0
"Enontekiö";"Total";725;0;50;136;152;188;185;14;0
"Espoo";"Total";131153;0;12594;30229;34779;31493;20795;1263;0
"Eura";"Total";4905;0;448;949;1079;1304;1052;73;0
"Eurajoki";"Total";4033;0;262;753;1077;1117;772;52;0
"Evijärvi";"Total";1023;0;81;199;216;266;246;15;0
"Finström";"Total";1281;0;122;239;284;352;252;32;0
"Forssa";"Total";6457;0;651;1236;1433;1553;1482;102;0
"Föglö";"Total";250;0;27;47;51;56;57;12;0
"Geta";"Total";236;0;13;49;43;61;65;5;0
"Haapajärvi";"Total";2717;0;285;485;592;699;631;25;0
"Haapavesi";"Total";2540;0;263;519;593;600;543;22;0
"Hailuoto";"Total";340;0;20;50;69;107;89;5;0
"Halsua";"Total";452;0;44;76;92;118;118;4;0
"Hamina";"Total";7641;0;533;1332;1850;2133;1722;71;0
"Hammarland";"Total";757;0;52;143;177;211;157;17;0
"Hankasalmi";"Total";1749;0;123;301;390;464;449;22;0
"Hanko";"Total";3254;0;216;510;731;988;775;34;0
"Harjavalta";"Total";2582;0;188;499;597;693;571;34;0
"Hartola";"Total";999;0;56;112;152;319;346;14;0
"Hattula";"Total";4181;0;257;760;1061;1128;934;41;0
"Hausjärvi";"Total";3707;0;190;545;996;1084;842;50;0
"Heinola";"Total";6881;0;561;1030;1370;1976;1847;97;0
"Heinävesi";"Total";1085;0;50;127;211;317;358;22;0
"Helsinki";"Total";309685;0;32109;92452;73605;61652;46573;3294;0
"Hirvensalmi";"Total";739;0;43;95;126;232;227;16;0
"Hollola";"Total";9784;0;605;1667;2501;2791;2117;103;0
"Honkajoki";"Total";674;0;51;110;146;159;194;14;0
"Huittinen";"Total";4097;0;367;805;874;1035;952;64;0
"Humppila";"Total";908;0;74;129;225;223;250;7;0
"Hyrynsalmi";"Total";730;0;47;102;102;219;236;24;0
"Hyvinkää";"Total";20642;0;2011;4433;4828;5149;4010;211;0
"Hämeenkyrö";"Total";4311;0;284;796;1081;1215;899;36;0
"Hämeenlinna";"Total";27621;0;2648;5729;6339;6913;5646;346;0
"Ii";"Total";3597;0;312;714;923;906;713;29;0
"Iisalmi";"Total";8539;0;786;1717;1856;2018;2033;129;0
"Iitti";"Total";2619;0;182;483;533;714;668;39;0
"Ikaalinen";"Total";2537;0;194;403;584;703;614;39;0
