12f7 -- 9. All data groups

Postal code area;X coordinate in metres;Y coordinate in metres;Inhabitants, 2017 PT;Employed, 2017 PT
WHOLE COUNTRY;429300;7084490;5513130;2327730
00100 Helsinki Keskusta - Etu-Töölö Helsinki;384979;6672361;18284;10340
00120 Punavuori Helsinki;385531;6671434;7108;3984
00130 Kaartinkaupunki Helsinki;386244;6671474;1508;838
00140 Kaivopuisto - Ullanlinna Helsinki;386394;6670766;7865;4158
00150 Eira - Hernesaari Helsinki;385320;6670373;9496;5514
00160 Katajanokka Helsinki;387315;6671672;4541;2097
00170 Kruununhaka Helsinki;386384;6672361;7461;4167
00180 Kamppi - Ruoholahti Helsinki;384394;6671544;13872;7721
00190 Suomenlinna Helsinki;388074;6668964;743;372
00200 Lauttasaari Helsinki;382001;6671291;15786;8660
00210 Vattuniemi Helsinki;382433;6670140;8412;4298
00220 Jätkäsaari Helsinki;384310;6670490;5884;3610
00230 Ilmala Helsinki;384728;6677128;0;0
00240 Länsi-Pasila Helsinki;384862;6675950;5261;2597
00250 Taka-Töölö Helsinki;384864;6674180;11277;6677
00260 Keski-Töölö Helsinki;384837;6673278;5478;2805
00270 Pohjois-Meilahti Helsinki;383779;6674911;7723;4227
00280 Ruskeasuo Helsinki;383953;6675752;2963;1579
00290 Meilahden sairaala-alue Helsinki;383963;6674235;143;87
00300 Pikku Huopalahti Helsinki;383074;6675909;5809;2629
00310 Kivihaka Helsinki;384025;6676710;890;480
00320 Etelä-Haaga Helsinki;383618;6677411;10231;5780
00330 Munkkiniemi Helsinki;382363;6675346;8848;4080
00340 Kuusisaari-Lehtisaari Helsinki;380834;6673255;1722;785
00350 Munkkivuori-Niemenmäki Helsinki;381714;6676414;9309;4732
00360 Pajamäki Helsinki;381312;6677454;1825;915
00370 Reimarla Helsinki;380818;6677989;6498;2909
00380 Pitäjänmäen teollisuusalue Helsinki;382085;6677483;4515;2255
00390 Konala Helsinki;380819;6679980;6328;3149
00400 Pohjois-Haaga Helsinki;383591;6678683;9672;4564
00410 Malminkartano Helsinki;381404;6680965;8553;4095
00420 Kannelmäki Helsinki;382603;6680785;13989;6154
00430 Maununneva Helsinki;383599;6681314;5454;2663
00440 Lassila Helsinki;382731;6678903;4626;2004
00500 Sörnäinen Helsinki;386920;6673920;12634;8168
00510 Etu-Vallila - Alppila Helsinki;386306;6674580;9628;5948
00520 Itä-Pasila Helsinki;385886;6675603;7299;3759
00530 Kallio Helsinki;386359;6673423;18612;10876
00540 Kalasatama Helsinki;387726;6673451;2521;1488
00550 Vallila Helsinki;386859;6675138;9243;5395
00560 Toukola-Vanhakaupunki Helsinki;388067;6676661;13438;7212
00570 Kulosaari Helsinki;389434;6673678;3962;1881
00580 Verkkosaari Helsinki;387684;6674732;2948;1589
00590 Kaitalahti Helsinki;390397;6672082;904;498
00600 Koskela-Helsinki Helsinki;387162;6677551;4147;1519
00610 Käpylä Helsinki;386344;6676820;8249;4018
00620 Metsälä-Etelä-Oulunkylä Helsinki;385491;6678014;3349;1549
00630 Maunula-Suursuo Helsinki;385145;6678875;8383;3518
00640 Oulunkylä-Patola Helsinki;387034;6679079;8171;3899
00650 Veräjämäki Helsinki;387774;6678231;4315;1925
00660 Länsi-Pakila Helsinki;385319;6680113;6702;2989
00670 Paloheinä Helsinki;385496;6681652;6025;2810
00680 Itä-Pakila Helsinki;387106;6680686;3694;1697
00690 Tuomarinkylä-Torpparinmäki Helsinki;386661;6682875;2762;1264
00700 Malmi Helsinki;391045;6680491;13271;5776
00710 Pihlajamäki Helsinki;389496;6678927;12710;5510
00720 Pukinmäki-Savela Helsinki;388597;6680231;8574;3717
00730 Tapanila Helsinki;390492;6682616;11226;5583
00740 Siltamäki Helsinki;389103;6683637;10347;4618
00750 Puistola Helsinki;390864;6684114;9629;4334
00760 Suurmetsä Helsinki;392953;6683179;7672;3618
00770 Jakomäki - Alppikylä Helsinki;392962;6681819;7289;3054
00780 Tapaninvainio Helsinki;388641;6681842;7079;3186
00790 Viikki Helsinki;390595;6678130;11039;5419
00800 Länsi-Herttoniemi Helsinki;391317;6676577;7190;3474
00810 Herttoniemi Helsinki;390592;6674684;11584;5726
00820 Roihuvuori Helsinki;392397;6675369;7265;3220
00830 Tammisalo Helsinki;393325;6673510;2237;979
00840 Laajasalo Helsinki;391841;6672655;8206;3527
00850 Jollas Helsinki;393186;6671362;3144;1425
00860 Santahamina Helsinki;392021;6669292;395;234
00870 Etelä-Laajasalo Helsinki;391474;6671389;6211;2764
00880 Roihupellon teollisuusalue Helsinki;391836;6675875;719;396
00890 Östersundom Helsinki;400065;6681820;2007;1001
00900 Puotinharju Helsinki;393673;6676837;4248;1685
00910 Puotila Helsinki;394778;6676551;6183;2614
00920 Myllypuro Helsinki;392634;6677550;13019;5450
00930 Itäkeskus-Marjaniemi Helsinki;393766;6675948;6830;2654
00940 Kontula - Vesala Helsinki;393323;6679592;26173;9765
00950 Vartioharju Helsinki;394996;6677673;5967;2845
00960 Pohjois-Vuosaari Helsinki;397097;6677756;7201;3182
00970 Mellunmäki Helsinki;396111;6678982;10628;4461
00980 Etelä-Vuosaari Helsinki;396443;6675954;23055;8953
00990 Aurinkolahti Helsinki;398295;6675382;8398;3947
01120 Västerskog Sipoo;404895;6682901;1424;686
01150 Söderkulla Sipoo;408388;6685413;5746;2819
01180 Kalkkiranta Porvoo;411964;6681922;466;221
01190 Box Sipoo;411240;6687935;1020;504
01200 Hakunila Vantaa;396764;6683747;11967;4937
01230 Vaarala Vantaa;395237;6682340;2981;1594
01260 Itä-Hakkila Vantaa;396395;6686683;4839;2391
01280 Länsimäki Vantaa;395296;6680584;9620;4442
01300 Tikkurila Vantaa;390678;6685914;19509;9656
01340 Leinelä Vantaa;391704;6689133;1693;1029
01350 Hiekkaharju Vantaa;391409;6687586;10255;5042
01360 Koivukylä-Havukoski Vantaa;393327;6688345;12026;5161
01370 Jokiniemi Vantaa;393177;6686286;6562;3492
01380 Kuusikko-Hakkila Vantaa;393696;6684855;1907;916
01390 Ruskeasanta-Ilola Vantaa;390428;6689094;9046;4717
01400 Rekola Vantaa;393365;6689991;8595;3790
01420 Päiväkumpu Vantaa;395500;6688953;3225;1568
01450 Korso Vantaa;393848;6692925;18228;8693
01480 Mikkola Vantaa;395384;6691476;6386;3030
01490 Nikinmäki Vantaa;396971;6690256;4229;2160
01510 Kirkonkylä-Veromäki Vantaa;387575;6685193;6359;3319
01520 Tammisto Vantaa;387168;6683945;7835;4292
01530 Veromiehenkylä Vantaa;386604;6688219;418;235
01600 Myyrmäki Vantaa;381084;6682733;17170;7226
01610 Kaivoksela Vantaa;382726;6682964;5150;2676
01620 Martinlaakso Vantaa;381188;6684636;12106;5264
01630 Hämeenkylä Vantaa;377599;6683269;2055;1044
01640 Hämevaara Vantaa;378388;6681547;3395;1707
01650 Vapaala Vantaa;379638;6682473;4124;1963
01660 Varisto Vantaa;379238;6683381;2306;991
01670 Vantaanlaakso Vantaa;382365;6684884;2813;1467
