ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-03-01,FIN,GADM,FIN.1_1,Eastern Finland,-0.04944,0.23367,full_february,DAY_OF_WEEK
2020-03-02,FIN,GADM,FIN.1_1,Eastern Finland,0.04129,0.1523,full_february,DAY_OF_WEEK
2020-03-03,FIN,GADM,FIN.1_1,Eastern Finland,-0.016659999999999998,0.157,full_february,DAY_OF_WEEK
2020-03-04,FIN,GADM,FIN.1_1,Eastern Finland,0.00115,0.15103,full_february,DAY_OF_WEEK
2020-03-05,FIN,GADM,FIN.1_1,Eastern Finland,-0.05467,0.15897999999999998,full_february,DAY_OF_WEEK
2020-03-06,FIN,GADM,FIN.1_1,Eastern Finland,-0.05869,0.1423,full_february,DAY_OF_WEEK
2020-03-07,FIN,GADM,FIN.1_1,Eastern Finland,-0.00229,0.18583,full_february,DAY_OF_WEEK
2020-03-08,FIN,GADM,FIN.1_1,Eastern Finland,0.01941,0.20556999999999997,full_february,DAY_OF_WEEK
2020-03-09,FIN,GADM,FIN.1_1,Eastern Finland,0.01904,0.14001,full_february,DAY_OF_WEEK
2020-03-10,FIN,GADM,FIN.1_1,Eastern Finland,-0.0235,0.14243,full_february,DAY_OF_WEEK
2020-03-11,FIN,GADM,FIN.1_1,Eastern Finland,0.0032600000000000003,0.1413,full_february,DAY_OF_WEEK
2020-03-12,FIN,GADM,FIN.1_1,Eastern Finland,-0.02051,0.14038,full_february,DAY_OF_WEEK
2020-03-13,FIN,GADM,FIN.1_1,Eastern Finland,-0.0564,0.13184,full_february,DAY_OF_WEEK
2020-03-14,FIN,GADM,FIN.1_1,Eastern Finland,-0.10319,0.2208,full_february,DAY_OF_WEEK
2020-03-15,FIN,GADM,FIN.1_1,Eastern Finland,-0.10972,0.25409,full_february,DAY_OF_WEEK
2020-03-16,FIN,GADM,FIN.1_1,Eastern Finland,-0.07167000000000001,0.17602,full_february,DAY_OF_WEEK
2020-03-17,FIN,GADM,FIN.1_1,Eastern Finland,-0.13906,0.19535,full_february,DAY_OF_WEEK
2020-03-18,FIN,GADM,FIN.1_1,Eastern Finland,-0.15504,0.20731999999999998,full_february,DAY_OF_WEEK
2020-03-19,FIN,GADM,FIN.1_1,Eastern Finland,-0.18442,0.21397,full_february,DAY_OF_WEEK
2020-03-20,FIN,GADM,FIN.1_1,Eastern Finland,-0.20135,0.20139,full_february,DAY_OF_WEEK
2020-03-21,FIN,GADM,FIN.1_1,Eastern Finland,-0.1924,0.25748000000000004,full_february,DAY_OF_WEEK
2020-03-22,FIN,GADM,FIN.1_1,Eastern Finland,-0.1751,0.28104,full_february,DAY_OF_WEEK
2020-03-23,FIN,GADM,FIN.1_1,Eastern Finland,-0.166,0.22476999999999997,full_february,DAY_OF_WEEK
2020-03-24,FIN,GADM,FIN.1_1,Eastern Finland,-0.18397,0.22926,full_february,DAY_OF_WEEK
2020-03-25,FIN,GADM,FIN.1_1,Eastern Finland,-0.18813,0.22826999999999997,full_february,DAY_OF_WEEK
2020-03-26,FIN,GADM,FIN.1_1,Eastern Finland,-0.19664,0.23106999999999997,full_february,DAY_OF_WEEK
2020-03-27,FIN,GADM,FIN.1_1,Eastern Finland,-0.21228000000000002,0.20461,full_february,DAY_OF_WEEK
2020-03-28,FIN,GADM,FIN.1_1,Eastern Finland,-0.21741999999999997,0.26674000000000003,full_february,DAY_OF_WEEK
2020-03-29,FIN,GADM,FIN.1_1,Eastern Finland,-0.24081999999999998,0.30796999999999997,full_february,DAY_OF_WEEK
2020-03-30,FIN,GADM,FIN.1_1,Eastern Finland,-0.15464,0.22274000000000002,full_february,DAY_OF_WEEK
2020-03-31,FIN,GADM,FIN.1_1,Eastern Finland,-0.23053,0.24711999999999998,full_february,DAY_OF_WEEK
2020-04-01,FIN,GADM,FIN.1_1,Eastern Finland,-0.22293000000000002,0.23924,full_february,DAY_OF_WEEK
2020-04-02,FIN,GADM,FIN.1_1,Eastern Finland,-0.23545,0.24345,full_february,DAY_OF_WEEK
2020-04-03,FIN,GADM,FIN.1_1,Eastern Finland,-0.2489,0.2266,full_february,DAY_OF_WEEK
