sub_region_1,date,transit_stations_percent_change_from_baseline
Central Finland,2020-02-15,9.0
Central Finland,2020-02-16,7.0
Central Finland,2020-02-17,-4.0
Central Finland,2020-02-18,-6.0
Central Finland,2020-02-19,5.0
Central Finland,2020-02-20,6.0
Central Finland,2020-02-21,10.0
Central Finland,2020-02-22,27.0
Central Finland,2020-02-23,18.0
Central Finland,2020-02-24,3.0
Central Finland,2020-02-25,-4.0
Central Finland,2020-02-26,9.0
Central Finland,2020-02-27,7.0
Central Finland,2020-02-28,-9.0
Central Finland,2020-02-29,16.0
Central Finland,2020-03-01,8.0
Central Finland,2020-03-02,0.0
Central Finland,2020-03-03,-8.0
Central Finland,2020-03-04,2.0
Central Finland,2020-03-05,-3.0
Central Finland,2020-03-06,-5.0
Central Finland,2020-03-07,5.0
Central Finland,2020-03-08,9.0
Central Finland,2020-03-09,-10.0
Central Finland,2020-03-10,-17.0
Central Finland,2020-03-11,-7.0
Central Finland,2020-03-12,-7.0
Central Finland,2020-03-13,-26.0
Central Finland,2020-03-14,-30.0
Central Finland,2020-03-15,-31.0
Central Finland,2020-03-16,-42.0
Central Finland,2020-03-17,-47.0
Central Finland,2020-03-18,-51.0
Central Finland,2020-03-19,-54.0
Central Finland,2020-03-20,-62.0
Central Finland,2020-03-21,-57.0
Central Finland,2020-03-22,-62.0
Central Finland,2020-03-23,-59.0
Central Finland,2020-03-24,-58.0
Central Finland,2020-03-25,-58.0
Central Finland,2020-03-26,-60.0
Central Finland,2020-03-27,-69.0
Central Finland,2020-03-28,-63.0
Central Finland,2020-03-29,-70.0
Central Finland,2020-03-30,-63.0
Central Finland,2020-03-31,-64.0
Central Finland,2020-04-01,-63.0
Central Finland,2020-04-02,-66.0
Central Finland,2020-04-03,-71.0
Central Finland,2020-04-04,-66.0
Central Finland,2020-04-05,-74.0
Central Finland,2020-04-06,-62.0
Central Finland,2020-04-07,-57.0
Central Finland,2020-04-08,-57.0
Central Finland,2020-04-09,-53.0
Central Finland,2020-04-10,-77.0
Central Finland,2020-04-11,-65.0
Central Finland,2020-04-12,-76.0
Central Finland,2020-04-13,-68.0
Central Finland,2020-04-14,-64.0
Central Finland,2020-04-15,-62.0
Central Finland,2020-04-16,-60.0
Central Finland,2020-04-17,-69.0
Central Finland,2020-04-18,-62.0
Central Finland,2020-04-19,-67.0
Central Finland,2020-04-20,-58.0
Central Finland,2020-04-21,-53.0
Central Finland,2020-04-22,-52.0
Central Finland,2020-04-23,-53.0
Central Finland,2020-04-24,-65.0
Central Finland,2020-04-25,-60.0
Central Finland,2020-04-26,-66.0
Central Finland,2020-04-27,-52.0
Central Finland,2020-04-28,-56.0
Central Finland,2020-04-29,-49.0
Central Finland,2020-04-30,-45.0
Central Finland,2020-05-01,-72.0
Central Finland,2020-05-02,-51.0
Central Finland,2020-05-03,-57.0
Central Finland,2020-05-04,-46.0
Central Finland,2020-05-05,-47.0
Central Finland,2020-05-06,-48.0
Central Finland,2020-05-07,-51.0
Central Finland,2020-05-08,-58.0
Central Finland,2020-05-09,-45.0
Central Finland,2020-05-10,-53.0
Central Finland,2020-05-11,-54.0
Central Finland,2020-05-12,-48.0
Central Finland,2020-05-13,-45.0
Central Finland,2020-05-14,-54.0
Central Finland,2020-05-15,-60.0
Central Finland,2020-05-16,-57.0
Central Finland,2020-05-17,-61.0
Central Finland,2020-05-18,-51.0
Central Finland,2020-05-19,-46.0
Central Finland,2020-05-20,-26.0
Central Finland,2020-05-21,-50.0
Central Finland,2020-05-22,-51.0
Central Finland,2020-05-23,-38.0
Central Finland,2020-05-24,-35.0
Central Finland,2020-05-25,-37.0
Central Finland,2020-05-26,-32.0
Central Finland,2020-05-27,-35.0
Central Finland,2020-05-28,-41.0
Central Finland,2020-05-29,-50.0
Central Finland,2020-05-30,-30.0
Central Finland,2020-05-31,-37.0
Central Finland,2020-06-01,-24.0
Central Finland,2020-06-02,-20.0
Central Finland,2020-06-03,-19.0
Central Finland,2020-06-04,-33.0
Central Finland,2020-06-05,-41.0
Central Finland,2020-06-06,-36.0
Central Finland,2020-06-07,-35.0
Central Finland,2020-06-08,-32.0
Central Finland,2020-06-09,-24.0
Central Finland,2020-06-10,-20.0
Central Finland,2020-06-11,-27.0
Central Finland,2020-06-12,-34.0
Central Finland,2020-06-13,-18.0
Central Finland,2020-06-14,-21.0
Central Finland,2020-06-15,-20.0
Central Finland,2020-06-16,-14.0
Central Finland,2020-06-17,-4.0
Central Finland,2020-06-18,21.0
Central Finland,2020-06-19,-45.0
Central Finland,2020-06-20,-36.0
Central Finland,2020-06-21,0.0
Central Finland,2020-06-22,-6.0
Central Finland,2020-06-23,-7.0
Central Finland,2020-06-24,-3.0
Central Finland,2020-06-25,-13.0
Central Finland,2020-06-26,-25.0
Central Finland,2020-06-27,-7.0
Central Finland,2020-06-28,-7.0
Central Finland,2020-06-29,-13.0
Central Finland,2020-06-30,-21.0
Central Finland,2020-07-01,-6.0
Central Finland,2020-07-02,-9.0
Central Finland,2020-07-03,-21.0
Central Finland,2020-07-04,-1.0
Central Finland,2020-07-05,-1.0
Central Finland,2020-07-06,5.0
Central Finland,2020-07-07,-2.0
Central Finland,2020-07-08,6.0
Central Finland,2020-07-09,-4.0
Central Finland,2020-07-10,-16.0
Central Finland,2020-07-11,5.0
Central Finland,2020-07-12,4.0
Central Finland,2020-07-13,6.0
Central Finland,2020-07-14,3.0
Central Finland,2020-07-15,13.0
Central Finland,2020-07-16,4.0
Central Finland,2020-07-17,-11.0
Central Finland,2020-07-18,14.0
Central Finland,2020-07-19,10.0
Central Finland,2020-07-20,12.0
Central Finland,2020-07-21,2.0
Central Finland,2020-07-22,7.0
Central Finland,2020-07-23,-6.0
Central Finland,2020-07-24,-22.0
Central Finland,2020-07-25,4.0
Central Finland,2020-07-26,4.0
Central Finland,2020-07-27,-1.0
Central Finland,2020-07-28,-7.0
Central Finland,2020-07-29,0.0
Central Finland,2020-07-30,-10.0
Central Finland,2020-07-31,-18.0
Central Finland,2020-08-01,5.0
Central Finland,2020-08-02,-8.0
Central Finland,2020-08-03,-7.0
Central Finland,2020-08-04,-8.0
Central Finland,2020-08-05,-1.0
Central Finland,2020-08-06,-14.0
Central Finland,2020-08-07,-21.0
Central Finland,2020-08-08,-3.0
Central Finland,2020-08-09,-9.0
Central Finland,2020-08-10,-20.0
Central Finland,2020-08-11,-14.0
Central Finland,2020-08-12,-18.0
Central Finland,2020-08-13,-22.0
Central Finland,2020-08-14,-24.0
Central Finland,2020-08-15,-14.0
Central Finland,2020-08-16,-15.0
Central Finland,2020-09-11,-28.0
Central Finland,2020-09-12,-22.0
Central Finland,2020-09-13,-20.0
Central Finland,2020-09-14,-29.0
Central Finland,2020-09-15,-27.0
Central Finland,2020-09-16,-31.0
Central Finland,2020-09-17,-36.0
Central Finland,2020-09-18,-30.0
Central Finland,2020-09-19,-21.0
Central Finland,2020-09-20,-20.0
Central Finland,2020-09-21,-31.0
Central Finland,2020-09-22,-29.0
Central Finland,2020-09-23,-30.0
Central Finland,2020-09-24,-33.0
Central Finland,2020-09-25,-34.0
Central Finland,2020-09-26,-28.0
Central Finland,2020-09-27,-23.0
Central Finland,2020-09-28,-33.0
Central Finland,2020-09-29,-33.0
Central Finland,2020-09-30,-26.0
Central Finland,2020-10-01,-31.0
Central Finland,2020-10-02,-31.0
Central Finland,2020-10-03,-34.0
Central Finland,2020-10-04,-25.0
Central Finland,2020-10-05,-34.0
Central Finland,2020-10-06,-31.0
Central Finland,2020-10-07,-28.0
Central Finland,2020-10-08,-32.0
Central Finland,2020-10-09,-32.0
Central Finland,2020-10-10,-20.0
Central Finland,2020-10-11,-32.0
Central Finland,2020-10-12,-29.0
Central Finland,2020-10-13,-24.0
Central Finland,2020-10-14,-22.0
Central Finland,2020-10-15,-27.0
Central Finland,2020-10-16,-40.0
Central Finland,2020-10-17,-26.0
Central Finland,2020-10-18,-21.0
Central Finland,2020-10-19,-37.0
Central Finland,2020-10-20,-38.0
Central Finland,2020-10-21,-35.0
Central Finland,2020-10-22,-38.0
Central Finland,2020-10-23,-44.0
Central Finland,2020-10-24,-39.0
Central Finland,2020-10-25,-37.0
Central Finland,2020-10-26,-41.0
Central Finland,2020-10-27,-39.0
Central Finland,2020-10-28,-34.0
Central Finland,2020-10-29,-40.0
Central Finland,2020-10-30,-44.0
Central Finland,2020-10-31,-43.0
Central Finland,2020-11-01,-38.0
Central Finland,2020-11-02,-41.0
Central Finland,2020-11-03,-41.0
Central Finland,2020-11-04,-35.0
Central Finland,2020-11-05,-37.0
Central Finland,2020-11-06,-38.0
Central Finland,2020-11-07,-40.0
Central Finland,2020-11-08,-33.0
Central Finland,2020-11-09,-37.0
Central Finland,2020-11-10,-35.0
Central Finland,2020-11-11,-38.0
Central Finland,2020-11-12,-39.0
Central Finland,2020-11-13,-42.0
Central Finland,2020-11-14,-42.0
Central Finland,2020-11-15,-36.0
Central Finland,2020-11-16,-40.0
Central Finland,2020-11-17,-38.0
Central Finland,2020-11-18,-34.0
Central Finland,2020-11-19,-38.0
Central Finland,2020-11-20,-42.0
Central Finland,2020-11-21,-39.0
Central Finland,2020-11-22,-40.0
Central Finland,2020-11-23,-39.0
Central Finland,2020-11-24,-39.0
Central Finland,2020-11-25,-40.0
Central Finland,2020-11-26,-43.0
Central Finland,2020-11-27,-43.0
Central Finland,2020-11-28,-44.0
Central Finland,2020-11-29,-38.0
Central Finland,2020-11-30,-40.0
Central Finland,2020-12-01,-41.0
Central Finland,2020-12-02,-37.0
Central Finland,2020-12-03,-47.0
Central Finland,2020-12-04,-49.0
Central Finland,2020-12-05,-51.0
Central Finland,2020-12-06,-57.0
Central Finland,2020-12-07,-43.0
Central Finland,2020-12-08,-49.0
Central Finland,2020-12-09,-44.0
Central Finland,2020-12-10,-50.0
Central Finland,2020-12-11,-54.0
Central Finland,2020-12-12,-53.0
Central Finland,2020-12-13,-52.0
Central Finland,2020-12-14,-46.0
Central Finland,2020-12-15,-41.0
Central Finland,2020-12-16,-42.0
Central Finland,2020-12-17,-41.0
Central Finland,2020-12-18,-55.0
Central Finland,2020-12-19,-40.0
Central Finland,2020-12-20,-50.0
Central Finland,2020-12-21,-42.0
Central Finland,2020-12-22,-27.0
Central Finland,2020-12-23,-16.0
Central Finland,2020-12-24,-69.0
Central Finland,2020-12-25,-75.0
Central Finland,2020-12-26,-32.0
Central Finland,2020-12-27,-41.0
Central Finland,2020-12-28,-37.0
Central Finland,2020-12-29,-42.0
Central Finland,2020-12-30,-26.0
Central Finland,2020-12-31,-44.0
Central Finland,2020-02-15,11.0
Central Finland,2020-02-16,11.0
Central Finland,2020-02-17,-4.0
Central Finland,2020-02-18,-7.0
Central Finland,2020-02-19,8.0
Central Finland,2020-02-20,6.0
Central Finland,2020-02-21,13.0
Central Finland,2020-02-22,33.0
Central Finland,2020-02-23,23.0
Central Finland,2020-02-24,5.0
Central Finland,2020-02-25,-1.0
Central Finland,2020-02-26,10.0
Central Finland,2020-02-27,7.0
Central Finland,2020-02-28,-9.0
Central Finland,2020-02-29,18.0
Central Finland,2020-03-01,10.0
Central Finland,2020-03-02,-2.0
Central Finland,2020-03-03,-8.0
Central Finland,2020-03-04,0.0
Central Finland,2020-03-05,-5.0
Central Finland,2020-03-06,-6.0
Central Finland,2020-03-07,5.0
Central Finland,2020-03-08,9.0
Central Finland,2020-03-09,-9.0
Central Finland,2020-03-10,-16.0
Central Finland,2020-03-11,-8.0
Central Finland,2020-03-12,-9.0
Central Finland,2020-03-13,-27.0
Central Finland,2020-03-14,-30.0
Central Finland,2020-03-15,-30.0
Central Finland,2020-03-16,-42.0
Central Finland,2020-03-17,-49.0
Central Finland,2020-03-18,-52.0
Central Finland,2020-03-19,-56.0
Central Finland,2020-03-20,-65.0
Central Finland,2020-03-21,-60.0
Central Finland,2020-03-22,-61.0
Central Finland,2020-03-23,-57.0
Central Finland,2020-03-24,-60.0
Central Finland,2020-03-25,-63.0
Central Finland,2020-03-26,-62.0
Central Finland,2020-03-27,-71.0
Central Finland,2020-03-28,-67.0
Central Finland,2020-03-29,-74.0
Central Finland,2020-03-30,-65.0
Central Finland,2020-03-31,-67.0
Central Finland,2020-04-01,-63.0
Central Finland,2020-04-02,-67.0
Central Finland,2020-04-03,-74.0
Central Finland,2020-04-04,-69.0
Central Finland,2020-04-05,-75.0
Central Finland,2020-04-06,-64.0
Central Finland,2020-04-07,-61.0
Central Finland,2020-04-08,-59.0
Central Finland,2020-04-09,-57.0
Central Finland,2020-04-10,-79.0
Central Finland,2020-04-11,-71.0
Central Finland,2020-04-12,-80.0
Central Finland,2020-04-13,-67.0
Central Finland,2020-04-14,-66.0
Central Finland,2020-04-15,-65.0
Central Finland,2020-04-16,-63.0
Central Finland,2020-04-17,-71.0
Central Finland,2020-04-18,-68.0
Central Finland,2020-04-19,-72.0
Central Finland,2020-04-20,-61.0
Central Finland,2020-04-21,-57.0
Central Finland,2020-04-22,-55.0
Central Finland,2020-04-23,-58.0
Central Finland,2020-04-24,-67.0
Central Finland,2020-04-25,-65.0
Central Finland,2020-04-26,-69.0
Central Finland,2020-04-27,-55.0
Central Finland,2020-04-28,-60.0
Central Finland,2020-04-29,-52.0
Central Finland,2020-04-30,-49.0
Central Finland,2020-05-01,-78.0
Central Finland,2020-05-02,-59.0
Central Finland,2020-05-03,-61.0
Central Finland,2020-05-04,-51.0
Central Finland,2020-05-05,-55.0
Central Finland,2020-05-06,-50.0
Central Finland,2020-05-07,-55.0
Central Finland,2020-05-08,-64.0
Central Finland,2020-05-09,-53.0
Central Finland,2020-05-10,-59.0
Central Finland,2020-05-11,-55.0
Central Finland,2020-05-12,-56.0
Central Finland,2020-05-13,-52.0
Central Finland,2020-05-14,-56.0
Central Finland,2020-05-15,-61.0
Central Finland,2020-05-16,-62.0
Central Finland,2020-05-17,-63.0
Central Finland,2020-05-18,-51.0
Central Finland,2020-05-19,-48.0
Central Finland,2020-05-20,-27.0
Central Finland,2020-05-21,-50.0
Central Finland,2020-05-22,-55.0
Central Finland,2020-05-23,-45.0
Central Finland,2020-05-24,-37.0
Central Finland,2020-05-25,-37.0
Central Finland,2020-05-26,-38.0
Central Finland,2020-05-27,-40.0
Central Finland,2020-05-28,-44.0
Central Finland,2020-05-29,-53.0
Central Finland,2020-05-30,-36.0
Central Finland,2020-05-31,-38.0
Central Finland,2020-06-01,-22.0
