origin,destination,flow
Espoo,Helsinki,52289
Vantaa,Helsinki,43980
Helsinki,Vantaa,32722
Helsinki,Espoo,32069
Espoo,Vantaa,10474
Kaarina,Turku,8963
Vantaa,Espoo,8757
Oulu,Kempele,7769
Kangasala,Tampere,7329
Kuopio,Siilinjärvi,6912
Ylöjärvi,Tampere,6838
Turku,Kaarina,6401
Raisio,Turku,5992
Nokia,Tampere,5964
Lahti,Hollola,5899
Korsholm,Vaasa,5885
Hollola,Lahti,5770
Kirkkonummi,Espoo,5745
Siilinjärvi,Kuopio,5410
Pirkkala,Tampere,5352
Tampere,Pirkkala,5287
Lempäälä,Tampere,5270
Turku,Raisio,5078
Tampere,Kangasala,4995
Kempele,Oulu,4862
Lieto,Turku,4815
Nurmijärvi,Helsinki,4288
Kerava,Helsinki,4211
Kontiolahti,Joensuu,4117
Jyväskylä,Laukaa,4005
Kirkkonummi,Helsinki,3991
Laukaa,Jyväskylä,3976
Naantali,Turku,3895
Tuusula,Helsinki,3848
Vaasa,Korsholm,3749
Tampere,Lempäälä,3633
Järvenpää,Helsinki,3579
Tampere,Nokia,3506
Tuusula,Vantaa,3206
Porvoo,Helsinki,3147
Jyväskylä,Muurame,3114
Sipoo,Helsinki,3070
Kerava,Vantaa,3035
Nurmijärvi,Vantaa,2961
Joensuu,Kontiolahti,2914
Pori,Ulvila,2852
Muurame,Jyväskylä,2822
Ulvila,Pori,2783
Järvenpää,Vantaa,2780
Hamina,Kotka,2524
Liperi,Joensuu,2453
Masku,Turku,2403
Ilmajoki,Seinäjoki,2346
Vihti,Espoo,2341
Turku,Lieto,2296
Imatra,Lappeenranta,2252
Lappeenranta,Imatra,2240
Vihti,Helsinki,2221
Järvenpää,Tuusula,2219
Tampere,Ylöjärvi,2213
Lohja,Espoo,2197
Seinäjoki,Ilmajoki,2114
Hattula,Hämeenlinna,2071
Liminka,Oulu,2052
Kotka,Hamina,2044
Orimattila,Lahti,2018
Hämeenlinna,Hattula,2001
Nurmijärvi,Espoo,1978
Riihimäki,Hyvinkää,1976
Turku,Naantali,1918
Lapua,Seinäjoki,1870
Pargas,Turku,1837
Ii,Oulu,1833
Hyvinkää,Helsinki,1820
Paimio,Turku,1820
Salo,Turku,1817
Tuusula,Järvenpää,1787
Rusko,Turku,1673
Sipoo,Vantaa,1649
Kauniainen,Espoo,1601
Lohja,Helsinki,1584
Laihia,Vaasa,1546
Porvoo,Vantaa,1527
Valkeakoski,Tampere,1523
Hyvinkää,Vantaa,1473
Joensuu,Liperi,1461
Jomala,Mariehamn,1460
Kurikka,Seinäjoki,1455
Hyvinkää,Riihimäki,1406
Janakkala,Hämeenlinna,1389
Oulu,Liminka,1369
Järvenpää,Kerava,1350
Heinola,Lahti,1340
Muhos,Oulu,1317
Taipalsaari,Lappeenranta,1307
Akaa,Tampere,1302
Hämeenlinna,Janakkala,1266
Seinäjoki,Lapua,1243
Lahti,Orimattila,1234
Hämeenkyrö,Tampere,1219
Kauniainen,Helsinki,1209
Espoo,Kirkkonummi,1201
Kouvola,Kotka,1153
Keminmaa,Kemi,1147
Asikkala,Lahti,1146
Vantaa,Kerava,1138
Orivesi,Tampere,1137
Tornio,Kemi,1107
Sotkamo,Kajaani,1106
Helsinki,Kerava,1076
Tuusula,Kerava,1073
Nousiainen,Turku,1071
Kouvola,Iitti,1053
Rauma,Eurajoki,1053
Eurajoki,Rauma,1045
Lohja,Vihti,1028
Kirkkonummi,Vantaa,1026
Mynämäki,Turku,1015
Ylöjärvi,Nokia,1008
Pyhtää,Kotka,1003
Kouvola,Lahti,1000
Nurmijärvi,Tuusula,988
Äänekoski,Jyväskylä,986
Kokkola,Jakobstad,984
Tuusula,Espoo,973
Kerava,Tuusula,968
Larsmo,Jakobstad,964
Seinäjoki,Kurikka,963
Vihti,Vantaa,959
Turku,Masku,953
Jämsä,Jyväskylä,949
Lohja,Kirkkonummi,944
Mäntsälä,Helsinki,934
Vantaa,Tuusula,923
Helsinki,Tuusula,921
Lappeenranta,Taipalsaari,914
Kerava,Järvenpää,910
Kemi,Tornio,908
Pedersöre,Jakobstad,908
Janakkala,Riihimäki,906
Leppävirta,Varkaus,906
Järvenpää,Espoo,878
Malax,Vaasa,874
Loviisa,Porvoo,870
Raasepori,Lohja,868
Sastamala,Tampere,863
Kerava,Espoo,853
Kajaani,Paltamo,849
Espoo,Kauniainen,849
Keminmaa,Tornio,841
Kotka,Kouvola,841
Ruokolahti,Imatra,835
Hyvinkää,Tuusula,806
Turku,Rusko,801
Rovaniemi,Tervola,798
Pöytyä,Turku,792
Tyrnävä,Oulu,774
Jakobstad,Kokkola,774
Mäntsälä,Järvenpää,772
Vihti,Lohja,767
Tuusula,Nurmijärvi,754
Mariehamn,Jomala,752
Lemland,Mariehamn,747
Kajaani,Sotkamo,735
Kemi,Keminmaa,734
Hämeenlinna,Riihimäki,728
Iitti,Kouvola,724
Mäntsälä,Vantaa,714
Pori,Rauma,714
Aura,Turku,713
Rauma,Pori,711
Hyvinkää,Järvenpää,702
Kouvola,Hamina,697
Joroinen,Varkaus,694
Helsinki,Nurmijärvi,680
Petäjävesi,Jyväskylä,670
Pori,Eurajoki,668
Vantaa,Järvenpää,667
Jyväskylä,Äänekoski,667
Hyvinkää,Espoo,654
Naantali,Raisio,652
Siuntio,Espoo,646
Pedersöre,Kokkola,646
Eurajoki,Pori,644
Pälkäne,Tampere,643
Vantaa,Nurmijärvi,642
Vesilahti,Tampere,635
Tornio,Keminmaa,634
Mikkeli,Juva,634
Kronoby,Kokkola,624
Lemi,Lappeenranta,623
Hausjärvi,Riihimäki,620
Kauhajoki,Kurikka,617
Oulu,Muhos,616
Helsinki,Järvenpää,616
Lieto,Kaarina,602
Sastamala,Nokia,601
Nokia,Pirkkala,600
Nurmijärvi,Järvenpää,598
Oulu,Ii,594
Hausjärvi,Hyvinkää,592
Hyvinkää,Nurmijärvi,589
Järvenpää,Nurmijärvi,583
Helsinki,Sipoo,582
Lohja,Vantaa,582
Nokia,Ylöjärvi,582
Lahti,Asikkala,580
Kurikka,Ilmajoki,579
Nakkila,Pori,578
Hämeenlinna,Tampere,574
Porvoo,Sipoo,572
Pori,Nakkila,564
Helsinki,Kirkkonummi,563
Turku,Pargas,561
Lapinlahti,Iisalmi,559
Varkaus,Leppävirta,559
Mäntsälä,Hyvinkää,557
Riihimäki,Helsinki,555
Ylöjärvi,Pirkkala,553
Tampere,Valkeakoski,551
Iisalmi,Lapinlahti,544
Pori,Harjavalta,542
Hamina,Kouvola,542
Jokioinen,Forssa,535
Uurainen,Jyväskylä,533
Espoo,Nurmijärvi,532
Jyväskylä,Jämsä,531
Hämeenlinna,Hyvinkää,527
Finström,Mariehamn,518
Mäntsälä,Tuusula,513
Raasepori,Salo,508
Varkaus,Joroinen,507
Rauma,Uusikaupunki,504
